date,state,death
2021-03-07,AK,305
2021-03-07,AL,10148
2021-03-07,AR,5319
2021-03-07,AS,0
2021-03-07,AZ,16328
2021-03-07,CA,54124
2021-03-07,CO,5989
2021-03-07,CT,7704
2021-03-07,DC,1030
2021-03-07,DE,1473
2021-03-07,FL,32266
2021-03-07,GA,17906
2021-03-07,GU,133
2021-03-07,HI,445
2021-03-07,IA,5558
2021-03-07,ID,1879
2021-03-07,IL,23014
2021-03-07,IN,12737
2021-03-07,KS,4812
2021-03-07,KY,4819
2021-03-07,LA,9748
2021-03-07,MA,16417
2021-03-07,MD,7955
2021-03-07,ME,706
2021-03-07,MI,16658
2021-03-07,MN,6550
2021-03-07,MO,8161
2021-03-07,MP,2
2021-03-07,MS,6808
2021-03-07,MT,1381
2021-03-07,NC,11502
2021-03-07,ND,1478
2021-03-07,NE,2113
2021-03-07,NH,1184
2021-03-07,NJ,23574
2021-03-07,NM,3808
2021-03-07,NV,5037
2021-03-07,NY,39029
2021-03-07,OH,17656
2021-03-07,OK,4534
2021-03-07,OR,2296
2021-03-07,PA,24349
2021-03-07,PR,2062
2021-03-07,RI,2547
2021-03-07,SC,8754
2021-03-07,SD,1900
2021-03-07,TN,11543
2021-03-07,TX,44451
2021-03-07,UT,1976
2021-03-07,VA,9596
2021-03-07,VI,25
2021-03-07,VT,208
2021-03-07,WA,5041
2021-03-07,WI,7106
2021-03-07,WV,2325
2021-03-07,WY,682
2021-03-06,AK,305
2021-03-06,AL,10149
2021-03-06,AR,5297
2021-03-06,AS,0
2021-03-06,AZ,16323
2021-03-06,CA,53866
2021-03-06,CO,5986
2021-03-06,CT,7704
2021-03-06,DC,1030
2021-03-06,DE,1464
2021-03-06,FL,32200
2021-03-06,GA,17905
2021-03-06,GU,133
2021-03-06,HI,444
2021-03-06,IA,5552
2021-03-06,ID,1876
2021-03-06,IL,23002
2021-03-06,IN,12726
2021-03-06,KS,4812
2021-03-06,KY,4806
2021-03-06,LA,9716
2021-03-06,MA,16374
2021-03-06,MD,7941
2021-03-06,ME,704
2021-03-06,MI,16658
2021-03-06,MN,6546
2021-03-06,MO,8161
2021-03-06,MP,2
2021-03-06,MS,6805
2021-03-06,MT,1381
2021-03-06,NC,11502
2021-03-06,ND,1478
2021-03-06,NE,2113
2021-03-06,NH,1181
2021-03-06,NJ,23557
2021-03-06,NM,3796
2021-03-06,NV,5036
2021-03-06,NY,38970
2021-03-06,OH,17656
2021-03-06,OK,4534
2021-03-06,OR,2293
2021-03-06,PA,24317
2021-03-06,PR,2059
2021-03-06,RI,2547
2021-03-06,SC,8719
2021-03-06,SD,1898
2021-03-06,TN,11543
2021-03-06,TX,44367
2021-03-06,UT,1975
2021-03-06,VA,9519
2021-03-06,VI,25
2021-03-06,VT,208
2021-03-06,WA,5041
2021-03-06,WI,7102
2021-03-06,WV,2323
2021-03-06,WY,682
2021-03-05,AK,305
2021-03-05,AL,10122
2021-03-05,AR,5283
2021-03-05,AS,0
2021-03-05,AZ,16269
2021-03-05,CA,53448
2021-03-05,CO,5986
2021-03-05,CT,7704
2021-03-05,DC,1027
2021-03-05,DE,1453
2021-03-05,FL,32093
2021-03-05,GA,17815
2021-03-05,GU,133
2021-03-05,HI,443
2021-03-05,IA,5549
2021-03-05,ID,1876
2021-03-05,IL,22946
2021-03-05,IN,12697
2021-03-05,KS,4812
2021-03-05,KY,4754
2021-03-05,LA,9716
2021-03-05,MA,16322
2021-03-05,MD,7930
2021-03-05,ME,704
2021-03-05,MI,16601
2021-03-05,MN,6534
2021-03-05,MO,8158
2021-03-05,MP,2
2021-03-05,MS,6783
2021-03-05,MT,1379
2021-03-05,NC,11446
2021-03-05,ND,1478
2021-03-05,NE,2112
2021-03-05,NH,1178
2021-03-05,NJ,23521
2021-03-05,NM,3787
2021-03-05,NV,5020
2021-03-05,NY,38891
2021-03-05,OH,17656
2021-03-05,OK,4534
2021-03-05,OR,2284
2021-03-05,PA,24262
2021-03-05,PR,2056
2021-03-05,RI,2541
2021-03-05,SC,8699
2021-03-05,SD,1896
2021-03-05,TN,11534
2021-03-05,TX,44134
2021-03-05,UT,1970
2021-03-05,VA,9428
2021-03-05,VI,25
2021-03-05,VT,207
2021-03-05,WA,5032
2021-03-05,WI,7094
2021-03-05,WV,2318
2021-03-05,WY,682
2021-03-04,AK,303
2021-03-04,AL,10094
2021-03-04,AR,5273
2021-03-04,AS,0
2021-03-04,AZ,16185
2021-03-04,CA,53048
2021-03-04,CO,5974
2021-03-04,CT,7693
2021-03-04,DC,1024
2021-03-04,DE,1444
2021-03-04,FL,31955
2021-03-04,GA,17750
2021-03-04,GU,131
2021-03-04,HI,441
2021-03-04,IA,5536
2021-03-04,ID,1876
2021-03-04,IL,22902
2021-03-04,IN,12663
2021-03-04,KS,4816
2021-03-04,KY,4732
2021-03-04,LA,9686
2021-03-04,MA,16296
2021-03-04,MD,7922
2021-03-04,ME,705
2021-03-04,MI,16589
2021-03-04,MN,6521
2021-03-04,MO,8150
2021-03-04,MP,2
2021-03-04,MS,6764
2021-03-04,MT,1375
2021-03-04,NC,11399
2021-03-04,ND,1478
2021-03-04,NE,2092
2021-03-04,NH,1178
2021-03-04,NJ,23491
2021-03-04,NM,3769
2021-03-04,NV,5005
2021-03-04,NY,38796
2021-03-04,OH,17189
2021-03-04,OK,4534
2021-03-04,OR,2252
2021-03-04,PA,24219
2021-03-04,PR,2053
2021-03-04,RI,2539
2021-03-04,SC,8660
2021-03-04,SD,1896
2021-03-04,TN,11501
2021-03-04,TX,43878
2021-03-04,UT,1955
2021-03-04,VA,9357
2021-03-04,VI,25
2021-03-04,VT,207
2021-03-04,WA,5012
2021-03-04,WI,7082
2021-03-04,WV,2309
2021-03-04,WY,682
2021-03-03,AK,303
2021-03-03,AL,10029
2021-03-03,AR,5261
2021-03-03,AS,0
2021-03-03,AZ,16089
2021-03-03,CA,52775
2021-03-03,CO,5970
2021-03-03,CT,7678
2021-03-03,DC,1023
2021-03-03,DE,1440
2021-03-03,FL,31829
2021-03-03,GA,17625
2021-03-03,GU,131
2021-03-03,HI,441
2021-03-03,IA,5501
2021-03-03,ID,1871
2021-03-03,IL,22853
2021-03-03,IN,12633
2021-03-03,KS,4816
2021-03-03,KY,4704
2021-03-03,LA,9668
2021-03-03,MA,16252
2021-03-03,MD,7919
2021-03-03,ME,705
2021-03-03,MI,16550
2021-03-03,MN,6507
2021-03-03,MO,8148
2021-03-03,MP,2
2021-03-03,MS,6743
2021-03-03,MT,1373
2021-03-03,NC,11363
2021-03-03,ND,1478
2021-03-03,NE,2091
2021-03-03,NH,1175
2021-03-03,NJ,23449
2021-03-03,NM,3753
2021-03-03,NV,4987
2021-03-03,NY,38735
2021-03-03,OH,17189
2021-03-03,OK,4534
2021-03-03,OR,2225
2021-03-03,PA,24169
2021-03-03,PR,2048
2021-03-03,RI,2534
2021-03-03,SC,8620
2021-03-03,SD,1893
2021-03-03,TN,11459
2021-03-03,TX,43563
2021-03-03,UT,1955
2021-03-03,VA,9326
2021-03-03,VI,25
2021-03-03,VT,207
2021-03-03,WA,4988
2021-03-03,WI,7069
2021-03-03,WV,2309
2021-03-03,WY,682
2021-03-02,AK,302
2021-03-02,AL,9991
2021-03-02,AR,5254
2021-03-02,AS,0
2021-03-02,AZ,16060
2021-03-02,CA,52497
2021-03-02,CO,5959
2021-03-02,CT,7658
2021-03-02,DC,1019
2021-03-02,DE,1426
2021-03-02,FL,31696
2021-03-02,GA,17480
2021-03-02,GU,131
2021-03-02,HI,439
2021-03-02,IA,5498
2021-03-02,ID,1867
2021-03-02,IL,22803
2021-03-02,IN,12623
2021-03-02,KS,4743
2021-03-02,KY,4671
2021-03-02,LA,9647
2021-03-02,MA,16182
2021-03-02,MD,7905
2021-03-02,ME,703
2021-03-02,MI,16544
2021-03-02,MN,6490
2021-03-02,MO,7932
2021-03-02,MP,2
2021-03-02,MS,6724
2021-03-02,MT,1372
2021-03-02,NC,11288
2021-03-02,ND,1477
2021-03-02,NE,2084
2021-03-02,NH,1170
2021-03-02,NJ,23321
2021-03-02,NM,3740
2021-03-02,NV,4967
2021-03-02,NY,38660
2021-03-02,OH,17189
2021-03-02,OK,4534
2021-03-02,OR,2212
2021-03-02,PA,24100
2021-03-02,PR,2040
2021-03-02,RI,2525
2021-03-02,SC,8576
2021-03-02,SD,1888
2021-03-02,TN,11436
2021-03-02,TX,43266
2021-03-02,UT,1949
2021-03-02,VA,8943
2021-03-02,VI,25
2021-03-02,VT,206
2021-03-02,WA,4969
2021-03-02,WI,7050
2021-03-02,WV,2301
2021-03-02,WY,682
2021-03-01,AK,300
2021-03-01,AL,9931
2021-03-01,AR,5250
2021-03-01,AS,0
2021-03-01,AZ,15979
2021-03-01,CA,52194
2021-03-01,CO,5952
2021-03-01,CT,7651
2021-03-01,DC,1019
2021-03-01,DE,1422
2021-03-01,FL,31556
2021-03-01,GA,17376
2021-03-01,GU,131
2021-03-01,HI,439
2021-03-01,IA,5472
2021-03-01,ID,1860
2021-03-01,IL,22759
2021-03-01,IN,12595
